gradNa_node1_x,gradNa_node1_y,gradNa_node2_x,gradNa_node2_y,gradNa_node3_x,gradNa_node3_y,qpWeight
9.58213465647344087017e+00,-4.31890037591036417552e+01,2.06792364894349880444e+01,4.34430259131561271602e+01,-3.02613711459084271382e+01,-2.54022154052492510345e-01,3.81856457999999983691e-04
-2.06798622904230171571e+01,-4.34430311662992849620e+01,3.02622869242047869420e+01,2.54029841343800022457e-01,-9.58242463378176978495e+00,4.31890013249554911567e+01,3.81844902499900006737e-04
-2.06792364894349987026e+01,-4.34430259131560845276e+01,3.02613711459084449018e+01,2.54022154052416182513e-01,-9.58213465647344619924e+00,4.31890037591036701770e+01,3.81856457999900020250e-04
-4.01966255919354367165e+01,-9.82025357339070370521e-01,6.77466387903860844943e+00,-2.65695998328343172545e+01,3.34219617128968309316e+01,2.75516251901733824070e+01,4.65262934999900019083e-04
-3.34208542316221652868e+01,-2.75515981338053812522e+01,4.01965861178686054700e+01,9.82024392966215242673e-01,-6.77573188624644018319e+00,2.65695737408391678969e+01,4.65263391899900004018e-04
-4.01965861178686054700e+01,-9.82024392966215242673e-01,6.77573188624643840683e+00,-2.65695737408391678969e+01,3.34208542316221652868e+01,2.75515981338053848049e+01,4.65263391899900004018e-04
-4.01965861178686054700e+01,-9.82024392966215242673e-01,6.77573188624643840683e+00,-2.65695737408391678969e+01,3.34208542316221652868e+01,2.75515981338053848049e+01,4.65263391899900004018e-04
-3.34219617128968380371e+01,-2.75516251901733824070e+01,4.01966255919354367165e+01,9.82025357339070370521e-01,-6.77466387903860578490e+00,2.65695998328343172545e+01,4.65262934999900019083e-04
6.77466387903861111397e+00,-2.65695998328343101491e+01,3.34219617128968451425e+01,2.75516251901733895124e+01,-4.01966255919354580328e+01,-9.82025357339079252306e-01,4.65262934999900019083e-04
-3.34213916019604440066e+01,-2.75516112620541093747e+01,4.01972324344746994029e+01,9.82040182831334651503e-01,-6.77584083251425628447e+00,2.65695710792227757224e+01,4.65255911100000000332e-04
-3.34219617128968451425e+01,-2.75516251901733824070e+01,4.01966255919354509274e+01,9.82025357339070814611e-01,-6.77466387903860578490e+00,2.65695998328343101491e+01,4.65262934999900019083e-04
-4.01966255919354509274e+01,-9.82025357339063154072e-01,6.77466387903861111397e+00,-2.65695998328343208073e+01,3.34219617128968380371e+01,2.75516251901733753016e+01,4.65262934999900019083e-04
-3.34211229146312334137e+01,-2.75516046978769644227e+01,4.01969092735736452937e+01,9.82032287835292949651e-01,-6.77578635894241187998e+00,2.65695724100416761360e+01,4.65259651499999983895e-04
-4.01968548005135630774e+01,-9.82245890484154560163e-01,6.77577717669870072115e+00,-2.65695364041411998812e+01,3.34210776238148525863e+01,2.75517822946253545524e+01,4.65260282000000012417e-04
-4.01971779605387453671e+01,-9.82253787186727178593e-01,6.77583165012290145057e+00,-2.65695350730346433465e+01,3.34213463104158421402e+01,2.75517888602213680826e+01,4.65256541599900011203e-04
-4.01966255919354509274e+01,-9.82025357339063154072e-01,6.77466387903861111397e+00,-2.65695998328343208073e+01,3.34219617128968380371e+01,2.75516251901733753016e+01,4.65262934999900019083e-04
-3.34209885725867010819e+01,-2.75516014158279851642e+01,4.01967476950716502415e+01,9.82028340384883402514e-01,-6.77575912248494915957e+00,2.65695730754430954335e+01,4.65261521699899985131e-04
-4.01968294042816935985e+01,-9.81707936606025954873e-01,6.77577289578644936796e+00,-2.65696270842610147156e+01,3.34210565084952548887e+01,2.75513350208670431130e+01,4.65260575949900023664e-04
-4.01967805163338596230e+01,-9.82055397583763367564e-01,6.77487111662090413233e+00,-2.65703051298994665785e+01,3.34219093997129590434e+01,2.75523605274832306122e+01,4.65248702999999984384e-04
-9.59573113313981762573e-01,-4.02093511062698070191e+01,2.75484932567309961371e+01,3.34242516793170310052e+01,-2.65889201434170097116e+01,6.78509942695278311930e+00,4.64842119699999999170e-04
2.65889201434170097116e+01,-6.78509942695290302339e+00,9.59573113313981651551e-01,4.02093511062698070191e+01,-2.75484932567309890317e+01,-3.34242516793169031075e+01,4.64842119699999999170e-04
-9.59435912055031203671e-01,-4.02091846416516887075e+01,2.75476422847604389688e+01,3.34232192053790129194e+01,-2.65882063727054074320e+01,6.78596543627267578813e+00,4.64856479099899980167e-04
-9.59573113313981762573e-01,-4.02093511062698070191e+01,2.75484932567309961371e+01,3.34242516793169102129e+01,-2.65889201434170097116e+01,6.78509942695290391157e+00,4.64842119699999999170e-04
2.65882057216329030780e+01,-6.78599272219598503852e+00,9.59439769884117166221e-01,4.02093463201547365315e+01,-2.75476454915170201332e+01,-3.34233535979587514930e+01,4.64854609949900000453e-04
2.75477343581568412390e+01,3.34233309169107144498e+01,-2.65881876789080884294e+01,6.78598811722938677349e+00,-9.59546679248752809599e-01,-4.02093190341400941179e+01,4.64854925399899997652e-04
2.65881850742772485319e+01,-6.78609726296944426593e+00,9.59562112584400828119e-01,4.02099657602767450726e+01,-2.75477471868616490269e+01,-3.34238684973073034712e+01,4.64847448799900024585e-04
2.65889201434170097116e+01,-6.78509942695278489566e+00,9.59573113313981762573e-01,4.02093511062698070191e+01,-2.75484932567309961371e+01,-3.34242516793170310052e+01,4.64842119699999999170e-04
-9.59439769884122051202e-01,-4.02093463201547365315e+01,2.75476454915169348681e+01,3.34233535979586449116e+01,-2.65882057216328142601e+01,6.78599272219608451451e+00,4.64854609950000018104e-04
2.65882063727053292723e+01,-6.78596543627265536003e+00,9.59435912055036421719e-01,4.02091846416517100238e+01,-2.75476422847603643618e+01,-3.34232192053790555519e+01,4.64856479099999997818e-04
-9.59573113313974435101e-01,-4.02093511062698070191e+01,2.75484932567309854790e+01,3.34242516793170310052e+01,-2.65889201434170097116e+01,6.78509942695278311930e+00,4.64842119699999999170e-04
-9.59008274854537212661e-01,-4.02092937852028384782e+01,2.75472868184156247651e+01,3.34233099291494113459e+01,-2.65882785435610884406e+01,6.78598385605342713234e+00,4.64855217299899991373e-04
-9.59466200918886347182e-01,-4.02093783887328370952e+01,2.75484043851948143811e+01,3.34242743580195025288e+01,-2.65889381842759284780e+01,6.78510403071333545455e+00,4.64841804299999990929e-04
2.65889100686320034583e+01,-6.78628230313644831284e+00,9.59480712378780853378e-01,4.02099865360352737298e+01,-2.75483907810107844227e+01,-3.34237042328988209761e+01,4.64834773899999980501e-04
-9.59480712378780853378e-01,-4.02099865360352737298e+01,2.75483907810107844227e+01,3.34237042328988209761e+01,-2.65889100686320034583e+01,6.78628230313644564831e+00,4.64834773899999980501e-04
-9.60524305718134407961e-01,-4.02097201799118977306e+01,2.75485469939781921767e+01,3.34236643626937777185e+01,-2.65880226882600574356e+01,6.78605581721812001206e+00,4.64850287849899999372e-04
-3.90080360983260945318e+01,-3.85695458245037192668e+00,4.05170879102429992713e+01,-3.35892348883815827776e+01,-1.50905181191690473952e+00,3.74461894708319533720e+01,3.40942567999899992428e-04
1.50899294906547210005e+00,-3.74461952909492268304e+01,3.90065145307992082735e+01,3.85680413609540728714e+00,-4.05155074798646808176e+01,3.35893911548538213196e+01,3.40955867499899976155e-04
-3.90063582651735600848e+01,-3.85693368814968406966e+00,4.05168684168063890638e+01,-3.35905194399504551939e+01,-1.51051015163282897902e+00,3.74474531281001361549e+01,3.40944414999899984755e-04
-3.90065145307992082735e+01,-3.85680413609543926157e+00,4.05155074798646737122e+01,-3.35893911548537076328e+01,-1.50899294906546543871e+00,3.74461952909491415653e+01,3.40955867499999993805e-04
1.51056907343129198651e+00,-3.74474473019353908398e+01,3.90078798205089611884e+01,3.85708413895546309291e+00,-4.05184488939402456253e+01,3.35903631629799264147e+01,3.40931115999899999030e-04
4.05184488939402456253e+01,-3.35903631629797700953e+01,-1.51056907343128887788e+00,3.74474473019353055747e+01,-3.90078798205089611884e+01,-3.85708413895553592354e+00,3.40931116000000016680e-04
1.51056907343120716547e+00,-3.74474473019353055747e+01,3.90078798205089611884e+01,3.85708413895553592354e+00,-4.05184488939401603602e+01,3.35903631629797700953e+01,3.40931116000000016680e-04
1.50905181191689830023e+00,-3.74461894708318823177e+01,3.90080360983260945318e+01,3.85695458245040390111e+00,-4.05170879102429921659e+01,3.35892348883814690907e+01,3.40942568000000010078e-04
-3.90080360983260945318e+01,-3.85695458245033195865e+00,4.05170879102429992713e+01,-3.35892348883816254101e+01,-1.50905181191690473952e+00,3.74461894708319533720e+01,3.40942567999899992428e-04
1.50905181191690140885e+00,-3.74461894708319604774e+01,3.90080360983260945318e+01,3.85695458245033195865e+00,-4.05170879102429992713e+01,3.35892348883816254101e+01,3.40942567999899992428e-04
-3.90078798205089682938e+01,-3.85708413895545598749e+00,4.05184488939401745711e+01,-3.35903631629798624658e+01,-1.51056907343120649934e+00,3.74474473019353197856e+01,3.40931116000000016680e-04
-3.90080360983260945318e+01,-3.85695458245041278289e+00,4.05170879102429992713e+01,-3.35892348883815472504e+01,-1.50905181191690473952e+00,3.74461894708319604774e+01,3.40942567999899992428e-04
-3.90080302777638365797e+01,-3.85709901611090089091e+00,4.05171386000369011526e+01,-3.35904927243366344669e+01,-1.50910832227307167841e+00,3.74475917404475353578e+01,3.40929800999899995130e-04
1.51056907343129198651e+00,-3.74474473019353908398e+01,3.90078798205089611884e+01,3.85708413895546309291e+00,-4.05184488939402456253e+01,3.35903631629799264147e+01,3.40931115999899999030e-04
-3.90078798205089682938e+01,-3.85708413895545598749e+00,4.05184488939401745711e+01,-3.35903631629798624658e+01,-1.51056907343120649934e+00,3.74474473019353197856e+01,3.40931116000000016680e-04
-3.90078798205089611884e+01,-3.85708413895553592354e+00,4.05184488939402385199e+01,-3.35903631629797700953e+01,-1.51056907343128443699e+00,3.74474473019353055747e+01,3.40931116000000016680e-04
3.18296399545935031483e+01,1.05564281950619047734e+01,-1.77435918868355564371e+01,2.24182211669325646142e+01,-1.40860480677579484876e+01,-3.29746493619944658349e+01,5.55017273999999978008e-04
1.40860480677580603981e+01,3.29746493619945084674e+01,-3.18296399545936417042e+01,-1.05564281950619474060e+01,1.77435918868355813061e+01,-2.24182211669325610615e+01,5.55017273999900014568e-04
3.18290751924732795430e+01,1.05571417463091563604e+01,-1.77432770573687044191e+01,2.24178233942232196796e+01,-1.40857981351045715712e+01,-3.29749651405323760400e+01,5.55027121999900020441e-04
3.18299396044170279652e+01,1.05571296585107603505e+01,-1.77441575973792495802e+01,2.24168968702435087437e+01,-1.40857820070377783850e+01,-3.29740265287542655415e+01,5.55027757499899974773e-04
1.40851968975979655596e+01,3.29747657206767215143e+01,-3.18297522728451056651e+01,-1.05573663219028794913e+01,1.77445553752471383291e+01,-2.24173993987738384703e+01,5.55015315499999997532e-04
-1.77445553752471241182e+01,2.24173993987738882083e+01,-1.40851968975979939813e+01,-3.29747657206767854632e+01,3.18297522728451198759e+01,1.05573663219028954785e+01,5.55015315499999997532e-04
1.40862464873030699408e+01,3.29751138510332282294e+01,-3.18300883147475204282e+01,-1.05574777810632713937e+01,1.77438418274444487110e+01,-2.24176360699699550594e+01,5.55009455999999992172e-04
1.40857820070377233179e+01,3.29740265287542584360e+01,-3.18299396044170173070e+01,-1.05571296585107567978e+01,1.77441575973792922127e+01,-2.24168968702435051910e+01,5.55027757499899974773e-04
3.18299396044169427000e+01,1.05571296585108154176e+01,-1.77441575973792744492e+01,2.24168968702434092677e+01,-1.40857820070376682509e+01,-3.29740265287542229089e+01,5.55027757500000046634e-04
1.40857820070377179889e+01,3.29740265287542442252e+01,-3.18299396044170563869e+01,-1.05571296585108527211e+01,1.77441575973793383980e+01,-2.24168968702433915041e+01,5.55027757499899974773e-04
3.18297522728452229046e+01,1.05573663219029203475e+01,-1.77445553752472058306e+01,2.24173993987738278122e+01,-1.40851968975980152976e+01,-3.29747657206767499360e+01,5.55015315499900034092e-04
